,video_id,title,thumbnail,tag_id
0,0SmH2AtQLLc,?BONUS l 너와 내가 연결된 602일ㅣ?출장십오야2 x 하이브,https://i.ytimg.com/vi/0SmH2AtQLLc/hqdefault.jpg,1
1,syQmw4g6O2U,예능에서 본업하는 호시? 예능하다 본명 잃은 토마스?우당탕탕 세븐틴의 마리텔송? | 마리텔⏱오분순삭 MBC160702방송,https://i.ytimg.com/vi/syQmw4g6O2U/hqdefault.jpg,1
2,1031Tp3_c5I,[쇼챔직캠 4K] NCT DREAM - Beatbox (엔시티 드림 - 비트박스) l Show Champion l EP.437,https://i.ytimg.com/vi/1031Tp3_c5I/hqdefault.jpg,1
3,283c1IonhJU,Xdinary Heroes 〈Hello world!〉 Highlight Film Sampler,https://i.ytimg.com/vi/283c1IonhJU/hqdefault.jpg,1
4,TVhtXfFjXQY,[김신영❤️여자아이돌 연애] 이게 왜 진짜야..? 아이돌 찐팬이 폭로 후 탈덕한 이유,https://i.ytimg.com/vi/TVhtXfFjXQY/hqdefault.jpg,1
5,2zgzpOF-eTk,[거치면 흥하리] 할머니 마음도 훔쳐버린 의적이 나타났다?! 블리처스는 사람 안가려.. (ENG SUB) | HIT Village,https://i.ytimg.com/vi/2zgzpOF-eTk/hqdefault.jpg,1
6,U8tRAqz0jco,미연이와 함께 배워보는 술자리 예절[feat.잣막걸리] | 술꾼 미연 | 유교맨 세형 | 양세형 | 아이들 미연 | [좋광고2] Ep.2 잣막걸리,https://i.ytimg.com/vi/U8tRAqz0jco/hqdefault.jpg,1
7,u92F5LwPj_g,까리함 그 자체? 길가면서 모델 워킹 하게 만드는 아이돌 노래 모음 | PLAYLIST,https://i.ytimg.com/vi/u92F5LwPj_g/hqdefault.jpg,1
8,UWjEqUcrByI,최신 걸그룹 뮤비(M/V) 모음 (KPOP girl group mix) 1080p_20220116,https://i.ytimg.com/vi/UWjEqUcrByI/hqdefault.jpg,1
9,uxVpYJn5yKU,여름에 듣기 좋은 여자 아이돌 노래 모음집,https://i.ytimg.com/vi/uxVpYJn5yKU/hqdefault.jpg,1
10,U_zmYTw-NLw,트와이스 미나 역대급 부잣집 딸이 KPOP아이돌이 된 이유[Twice Mina] (ENGINDO),https://i.ytimg.com/vi/U_zmYTw-NLw/hqdefault.jpg,1
11,v-J9VZvVnu8,#ILOVEU CHALLENGE with STAYC??,https://i.ytimg.com/vi/v-J9VZvVnu8/hqdefault.jpg,1
12,VN5-Yatr_Tg,(WEi ep-3) 계속해서 WEi~ 그들을 체념하게 만든 제 2관문?! “무조건 노래방” (feat. Paradao / ENG sub),https://i.ytimg.com/vi/VN5-Yatr_Tg/hqdefault.jpg,1
13,6qzZ1CEGIWA,[SUPER ULTRA 8K] 선미 '열이올라요' 풀캠 (SUNMI 'Heart Burn' FullCam) @SBS Inkigayo 220703,https://i.ytimg.com/vi/6qzZ1CEGIWA/hqdefault.jpg,1
14,w-lwBusCmpc,STAYC 스테이씨 'BEAUTIFUL MONSTER' 가사 LYRICS,https://i.ytimg.com/vi/w-lwBusCmpc/hqdefault.jpg,1
15,74wAvdh0v-E,WINNER - HOLIDAY IN THE CITY #BEHIND,https://i.ytimg.com/vi/74wAvdh0v-E/hqdefault.jpg,1
16,852a3R2XI_8,[SUPER ULTRA 8K] 박현서 'Sparkling Rain' 풀캠 (Hyeon seo Park FullCam) @SBS Inkigayo 220703,https://i.ytimg.com/vi/852a3R2XI_8/hqdefault.jpg,1
17,8KgfjkHbSoc,Origin of Xdinary Heroes | S2 #2,https://i.ytimg.com/vi/8KgfjkHbSoc/hqdefault.jpg,1
18,X2UdQwmfVcg,[ALBUM PREVIEW] 우주소녀(WJSN) - Sequence,https://i.ytimg.com/vi/X2UdQwmfVcg/hqdefault.jpg,1
19,xn7hV1ilcOI,여자아이돌 걸그룹 노래모음 70곡 (가사포함) | Girl Group Playlist 70 Songs (Korean Lyrics),https://i.ytimg.com/vi/xn7hV1ilcOI/hqdefault.jpg,1
20,Yfi-qe4Fhp0,[SUPER ULTRA 8K] 이민혁 '넌 나의 봄이야' 풀캠 (HUTA 'Dear My Spring' FullCam) @SBS Inkigayo 220703,https://i.ytimg.com/vi/Yfi-qe4Fhp0/hqdefault.jpg,1
21,ym9lV2ytu7s,[놀면 뭐하니?] 무대를 꽉 채우는 4FIRE의 따듯한 목소리 ? 프로美 낭낭했던 4FIRE의 무대! MBC 220723 방송,https://i.ytimg.com/vi/ym9lV2ytu7s/hqdefault.jpg,1
