,video_id,title,thumbnail,tag_id
0,r_yVuZ4C0JY,당신의 흥미를 유발할 잔디코트 짜집기 영상 (나달 디미트로프 조코비치 머레이 외 다수),https://i.ytimg.com/vi/r_yVuZ4C0JY/hqdefault.jpg,1
1,-D65DVkg90A,팀진탕티비vs한양대OB 테니스 남자복식 교류전 하이라이트 모음,https://i.ytimg.com/vi/-D65DVkg90A/hqdefault.jpg,1
2,slTZ22dNSk8,[테니스] 포핸드 심상훈련(사라포바 포핸드편),https://i.ytimg.com/vi/slTZ22dNSk8/hqdefault.jpg,1
3,0hwOz7xglYw,Dominic Thiem vs Alexander Shevchenko Highlights | Kitzbuhel 2022,https://i.ytimg.com/vi/0hwOz7xglYw/hqdefault.jpg,1
4,0zB8uEkYyBw,윤충식(랭킹 1위) vs 한은성(신흥강자) 단식 최강자들의 대결! 포인트 관리의 중요성 (21년 10월 촬영분),https://i.ytimg.com/vi/0zB8uEkYyBw/hqdefault.jpg,1
5,tM0WMWMrh_8,배구 선수 출신이 테니스에서 스매싱을 때리면? (feat. 포티러브배 혼복 매치 준우승),https://i.ytimg.com/vi/tM0WMWMrh_8/hqdefault.jpg,1
6,232u1L008tQ,[테니스레슨] 코치님과 내 포핸드의 차이? 생각보다 쉬운 체중이동으로 강력한 포핸드 만들기 !  (테니스레슨일기 24),https://i.ytimg.com/vi/232u1L008tQ/hqdefault.jpg,1
7,2jjqnQlbP5o,이형택 VS 고등학교 랭킹 1위 (feat.현 테니스 선수 손지훈),https://i.ytimg.com/vi/2jjqnQlbP5o/hqdefault.jpg,1
8,2KG_aQ6kqSg,혼복입상 vs 신인부 | MARS COURT,https://i.ytimg.com/vi/2KG_aQ6kqSg/hqdefault.jpg,1
9,2qThlNYqysA,2022 KATO 음성군수배 마스터즈부 본선 ( 이경민 전형석 vs 이재갑 홍순관)  Amateur Tennis Match,https://i.ytimg.com/vi/2qThlNYqysA/hqdefault.jpg,1
10,34eK2gn1P_k,폼도 이쁘고 볼도 좋은 동생들이랑 남자복식 빡겜!!?,https://i.ytimg.com/vi/34eK2gn1P_k/hqdefault.jpg,1
11,3DEOzVqEQis,(우승상금 1천만원) 지스타 테니스 2022 국내 최강 프로암 혼복 [결승전 배 솔/박혜연 vs 조병국/박종순],https://i.ytimg.com/vi/3DEOzVqEQis/hqdefault.jpg,1
12,3fn6yoC1vW4,제1회 아비트레배 (오픈부우승자+비입상자) 8강 (김근태 김종빈 vs 김용희 이경훈),https://i.ytimg.com/vi/3fn6yoC1vW4/hqdefault.jpg,1
